ai_reliability,eff_delta,ci_low,ci_high,defect_delta,trust_calibration,share_positive
0.2,-1.6442,-2.7211,-0.5673,-1.0343,42.202,0.317
0.25,-1.8456,-2.8094,-0.8819,-0.6628,46.409,0.283
0.3,-1.2636,-2.2341,-0.2931,0.2781,50.616,0.383
0.35,-1.0559,-2.0914,-0.0204,-0.8677,54.823,0.4
0.4,-0.4878,-1.5732,0.5975,-0.2004,59.031,0.5
0.45,-0.4968,-1.586,0.5924,-0.8046,63.238,0.467
0.5,0.0637,-0.9874,1.1148,-2.383,67.445,0.533
0.55,0.5121,-0.4398,1.464,-3.0164,71.652,0.583
0.6,0.9083,0.0368,1.7797,-3.9559,75.86,0.633
0.65,1.5662,0.735,2.3975,-4.6072,80.067,0.7
0.7,1.5443,0.6929,2.3956,-3.3051,84.274,0.75
0.75,1.5924,0.6811,2.5037,-2.8815,88.482,0.7
0.8,1.5266,0.6065,2.4466,-3.2392,92.564,0.683
0.85,1.8362,0.7389,2.9335,-3.9787,95.985,0.65
0.9,2.324,1.3739,3.2741,-4.7703,97.001,0.733
0.95,2.363,1.3384,3.3875,-4.2478,94.561,0.717
