Parameter,Outcome,Min,Max,Range,Std Dev,Stability
ai_reliability,team_effectiveness,71.298,74.974,3.676,1.463,0.951
ai_reliability,collective_intelligence,64.806,65.549,0.743,0.263,0.989
ai_reliability,team_viability,67.45,74.796,7.346,2.436,0.902
ai_reliability,member_sustainability,68.88,71.362,2.482,0.911,0.965
ai_reliability,defect_rate,14.953,18.489,3.536,1.126,0.809
ai_reliability,trust_calibration,57.184,95.945,38.761,12.753,0.596
ai_reliability,carry_over_rate,24.936,30.125,5.189,1.623,0.828
ai_reliability,rework_created,4.3,5.1,0.8,0.252,0.843
trust_in_ai,team_effectiveness,72.2,75.403,3.203,1.166,0.958
trust_in_ai,collective_intelligence,64.899,65.559,0.66,0.228,0.99
trust_in_ai,team_viability,67.422,74.799,7.377,2.525,0.901
trust_in_ai,member_sustainability,69.748,71.462,1.714,0.593,0.976
trust_in_ai,defect_rate,15.156,16.218,1.062,0.337,0.935
trust_in_ai,trust_calibration,56.461,95.904,39.443,13.469,0.589
trust_in_ai,carry_over_rate,25.04,27.892,2.852,1.006,0.898
trust_in_ai,rework_created,4.325,4.6,0.275,0.09,0.94
effort_management,team_effectiveness,70.178,77.473,7.295,2.291,0.906
effort_management,collective_intelligence,63.605,66.527,2.922,0.947,0.956
effort_management,team_viability,73.259,74.865,1.606,0.516,0.979
effort_management,member_sustainability,58.924,78.075,19.151,6.259,0.755
effort_management,defect_rate,14.619,17.463,2.844,0.858,0.837
effort_management,trust_calibration,93.396,93.396,0.0,0.0,1.0
effort_management,carry_over_rate,24.203,31.713,7.51,2.323,0.763
effort_management,rework_created,3.625,4.625,1.0,0.394,0.784
skills_knowledge_coordination,team_effectiveness,74.294,75.775,1.481,0.488,0.98
skills_knowledge_coordination,collective_intelligence,62.044,67.489,5.445,1.781,0.919
skills_knowledge_coordination,team_viability,72.623,75.334,2.711,0.886,0.964
skills_knowledge_coordination,member_sustainability,71.127,71.52,0.393,0.134,0.995
skills_knowledge_coordination,defect_rate,14.161,19.297,5.136,1.745,0.734
skills_knowledge_coordination,trust_calibration,93.396,93.396,0.0,0.0,1.0
skills_knowledge_coordination,carry_over_rate,25.22,25.949,0.729,0.237,0.972
skills_knowledge_coordination,rework_created,3.975,5.725,1.75,0.599,0.694
task_strategy,team_effectiveness,72.801,76.235,3.434,1.028,0.955
task_strategy,collective_intelligence,62.854,66.982,4.128,1.343,0.938
task_strategy,team_viability,72.598,75.283,2.685,0.867,0.964
task_strategy,member_sustainability,70.768,71.637,0.869,0.27,0.988
task_strategy,defect_rate,15.453,16.75,1.297,0.437,0.923
task_strategy,trust_calibration,93.396,93.396,0.0,0.0,1.0
task_strategy,carry_over_rate,23.908,30.266,6.358,1.823,0.79
task_strategy,rework_created,4.275,4.75,0.475,0.14,0.9
collective_reasoning,team_effectiveness,74.275,75.679,1.404,0.442,0.981
collective_reasoning,collective_intelligence,61.669,67.115,5.446,1.848,0.919
collective_reasoning,team_viability,72.337,75.201,2.864,0.965,0.962
collective_reasoning,member_sustainability,70.96,71.517,0.557,0.177,0.992
collective_reasoning,defect_rate,15.5,16.271,0.771,0.281,0.953
collective_reasoning,trust_calibration,93.396,93.396,0.0,0.0,1.0
collective_reasoning,carry_over_rate,25.309,26.385,1.076,0.339,0.959
collective_reasoning,rework_created,4.5,4.725,0.225,0.085,0.952
dashboard_quality,team_effectiveness,73.888,75.917,2.029,0.665,0.973
dashboard_quality,collective_intelligence,63.578,66.352,2.774,0.907,0.958
dashboard_quality,team_viability,72.562,75.126,2.564,0.839,0.966
dashboard_quality,member_sustainability,70.659,71.663,1.004,0.345,0.986
dashboard_quality,defect_rate,15.125,16.873,1.748,0.622,0.896
dashboard_quality,trust_calibration,93.396,93.396,0.0,0.0,1.0
dashboard_quality,carry_over_rate,24.946,27.151,2.205,0.764,0.919
dashboard_quality,rework_created,4.35,4.9,0.55,0.197,0.888
dependency_density,team_effectiveness,74.84,75.767,0.927,0.295,0.988
dependency_density,collective_intelligence,65.427,65.616,0.189,0.051,0.997
dependency_density,team_viability,74.259,74.44,0.181,0.049,0.998
dependency_density,member_sustainability,71.109,71.461,0.352,0.109,0.995
dependency_density,defect_rate,13.474,17.115,3.641,1.105,0.787
dependency_density,trust_calibration,93.396,93.396,0.0,0.0,1.0
dependency_density,carry_over_rate,24.544,26.09,1.546,0.577,0.941
dependency_density,rework_created,3.775,4.925,1.15,0.328,0.766
