trust_in_ai,ai_reliability,n,eff_delta_mean,eff_delta_se,eff_delta_sd,eff_delta_ci_low,eff_delta_ci_high,share_positive,defect_delta_mean,defect_delta_se,trust_calibration_mean,trust_calibration_se,trust_gap
0.3,0.3,40,1.1119,0.6164,3.8495,-0.0963,2.3201,0.675,-3.1702,1.2042,93.933,0.6589,0.0
0.3,0.35,40,1.0021,0.587,3.6658,-0.1484,2.1526,0.675,-2.948,1.158,95.735,0.5009,-0.05
0.3,0.4,40,1.103,0.5225,3.2632,0.0789,2.1272,0.65,-2.8924,1.1636,95.616,0.5625,-0.1
0.3,0.45,40,0.7216,0.5199,3.2469,-0.2974,1.7407,0.6,-2.5903,1.159,93.159,0.6732,-0.15
0.3,0.5,40,0.7657,0.555,3.4661,-0.3221,1.8536,0.6,-2.125,1.4057,89.897,0.7954,-0.2
0.3,0.55,40,0.9642,0.615,3.8407,-0.2412,2.1696,0.6,-1.8646,1.4964,86.127,0.8147,-0.25
0.3,0.6,40,0.8401,0.5621,3.5103,-0.2616,1.9418,0.65,-1.4931,1.3364,82.296,0.8147,-0.3
0.3,0.65,40,0.6593,0.6115,3.8188,-0.5392,1.8578,0.625,-1.0104,1.3844,78.466,0.8147,-0.35
0.3,0.7,40,0.6328,0.6376,3.9816,-0.6168,1.8824,0.625,-0.2257,1.3837,74.635,0.8147,-0.4
0.3,0.75,40,0.8036,0.6496,4.0565,-0.4695,2.0768,0.55,-1.1458,1.4718,70.805,0.8146,-0.45
0.3,0.8,40,0.743,0.6414,4.0055,-0.5142,2.0001,0.55,-1.8924,1.6458,66.975,0.8147,-0.5
0.3,0.85,40,0.7473,0.5985,3.7375,-0.4258,1.9203,0.525,-1.7986,1.4658,63.145,0.8147,-0.55
0.3,0.9,40,0.9625,0.5646,3.5261,-0.1441,2.0692,0.525,-1.9063,1.4029,59.314,0.8147,-0.6
0.3,0.95,40,1.2036,0.6018,3.758,0.0241,2.383,0.6,-1.9062,1.156,55.484,0.8147,-0.65
0.35,0.3,40,1.1415,0.6172,3.8545,-0.0682,2.3512,0.625,-2.8404,1.2194,90.735,0.7645,0.05
0.35,0.35,40,1.0335,0.6396,3.9942,-0.2201,2.2871,0.65,-2.4549,1.2519,93.93,0.6592,0.0
0.35,0.4,40,1.1911,0.6262,3.9103,-0.0362,2.4183,0.625,-3.0418,1.2273,95.699,0.5014,-0.05
0.35,0.45,40,0.769,0.5912,3.692,-0.3897,1.9278,0.625,-3.323,1.1111,95.581,0.5689,-0.1
0.35,0.5,40,0.7127,0.5373,3.3553,-0.3403,1.7658,0.55,-2.0035,1.1432,93.123,0.6805,-0.15
0.35,0.55,40,0.9559,0.5441,3.3979,-0.1106,2.0223,0.625,-1.441,1.2816,89.861,0.8021,-0.2
0.35,0.6,40,1.2518,0.6143,3.836,0.0478,2.4557,0.625,-1.7986,1.5042,86.091,0.8213,-0.25
0.35,0.65,40,0.9935,0.5904,3.6868,-0.1636,2.1506,0.65,-1.6216,1.255,82.261,0.8214,-0.3
0.35,0.7,40,0.4814,0.6242,3.8981,-0.742,1.7048,0.575,-1.5173,1.3352,78.43,0.8213,-0.35
0.35,0.75,40,0.6808,0.6632,4.1419,-0.6191,1.9807,0.575,-1.4653,1.4248,74.6,0.8213,-0.4
0.35,0.8,40,0.7308,0.6787,4.2386,-0.5995,2.0611,0.55,-2.0312,1.4351,70.77,0.8213,-0.45
0.35,0.85,40,0.817,0.5961,3.7228,-0.3514,1.9854,0.575,-1.1632,1.4973,66.939,0.8213,-0.5
0.35,0.9,40,0.791,0.552,3.4473,-0.2909,1.8729,0.525,-1.0799,1.4858,63.109,0.8213,-0.55
0.35,0.95,40,1.0927,0.6068,3.7895,-0.0966,2.2821,0.575,-1.9097,1.2468,59.279,0.8213,-0.6
0.4,0.3,40,0.7097,0.6284,3.9246,-0.522,1.9415,0.6,-2.2884,1.2108,87.116,0.8265,0.1
0.4,0.35,40,1.3578,0.6025,3.7629,0.1768,2.5387,0.65,-2.4411,1.2469,90.753,0.7697,0.05
0.4,0.4,40,0.8259,0.6044,3.7747,-0.3588,2.0106,0.6,-2.0105,1.2097,93.911,0.6573,0.0
0.4,0.45,40,1.4259,0.6563,4.0984,0.1396,2.7121,0.625,-3.125,1.2579,95.68,0.5043,-0.05
0.4,0.5,40,0.9362,0.6166,3.8505,-0.2723,2.1447,0.65,-3.4515,1.1764,95.561,0.5747,-0.1
0.4,0.55,40,0.7017,0.5438,3.396,-0.3642,1.7675,0.575,-1.7778,1.1334,93.104,0.6863,-0.15
0.4,0.6,40,0.8982,0.5534,3.4562,-0.1865,1.9829,0.6,-1.1806,1.4286,89.842,0.8074,-0.2
0.4,0.65,40,1.201,0.5862,3.6606,0.0521,2.3499,0.625,-1.4619,1.5911,86.072,0.8265,-0.25
0.4,0.7,40,0.9794,0.5725,3.5753,-0.1427,2.1015,0.65,-1.7396,1.3209,82.241,0.8266,-0.3
0.4,0.75,40,0.9165,0.6276,3.9192,-0.3136,2.1465,0.6,-1.4271,1.3847,78.411,0.8265,-0.35
0.4,0.8,40,0.6098,0.6824,4.2615,-0.7277,1.9472,0.5,-1.4652,1.5162,74.581,0.8265,-0.4
0.4,0.85,40,0.7887,0.6345,3.9626,-0.455,2.0323,0.525,-2.0348,1.6795,70.75,0.8265,-0.45
0.4,0.9,40,0.8944,0.5847,3.6517,-0.2517,2.0405,0.575,-1.684,1.628,66.92,0.8265,-0.5
0.4,0.95,40,1.1507,0.6173,3.855,-0.0592,2.3606,0.575,-1.757,1.2082,63.09,0.8265,-0.55
0.45,0.3,40,0.1025,0.6832,4.2667,-1.2366,1.4416,0.5,-2.6252,1.3771,83.297,0.8298,0.15
0.45,0.35,40,0.9052,0.6104,3.8118,-0.2912,2.1015,0.675,-2.5002,1.2011,87.127,0.8297,0.1
0.45,0.4,40,1.1693,0.6065,3.7876,-0.0194,2.358,0.65,-2.4585,1.2639,90.742,0.7663,0.05
0.45,0.45,40,0.8468,0.5895,3.6813,-0.3086,2.0022,0.575,-1.7328,1.2422,93.899,0.6564,0.0
0.45,0.5,40,1.6247,0.7093,4.4293,0.2346,3.0149,0.625,-2.684,1.2903,95.668,0.5064,-0.05
0.45,0.55,40,0.9032,0.5941,3.7099,-0.2611,2.0676,0.675,-3.1632,1.2084,95.55,0.5783,-0.1
0.45,0.6,40,0.6169,0.557,3.4784,-0.4748,1.7086,0.55,-1.8299,1.2026,93.093,0.6899,-0.15
0.45,0.65,40,1.1467,0.5232,3.2677,0.1212,2.1723,0.675,-0.8646,1.4727,89.831,0.8107,-0.2
0.45,0.7,40,1.2726,0.6105,3.8127,0.076,2.4692,0.65,-2.2535,1.5344,86.061,0.8298,-0.25
0.45,0.75,40,1.163,0.5643,3.5242,0.0569,2.269,0.65,-2.1945,1.3205,82.23,0.8298,-0.3
0.45,0.8,40,0.889,0.6439,4.021,-0.373,2.151,0.575,-2.1215,1.3927,78.4,0.8298,-0.35
0.45,0.85,40,0.6838,0.6588,4.1143,-0.6075,1.9751,0.525,-2.2535,1.6863,74.569,0.8298,-0.4
0.45,0.9,40,0.8631,0.6167,3.8511,-0.3455,2.0718,0.6,-1.5972,1.4911,70.739,0.8298,-0.45
0.45,0.95,40,1.243,0.6219,3.884,0.024,2.462,0.6,-1.7674,1.2411,66.909,0.8298,-0.5
0.5,0.3,40,0.5147,0.6488,4.0521,-0.7571,1.7864,0.55,-3.5973,1.2118,79.467,0.8298,0.2
0.5,0.35,40,0.0536,0.6518,4.0702,-1.2238,1.331,0.5,-2.6772,1.3398,83.297,0.8298,0.15
0.5,0.4,40,0.4424,0.6311,3.9411,-0.7945,1.6794,0.65,-1.962,1.3307,87.127,0.8297,0.1
0.5,0.45,40,1.2511,0.6264,3.9119,0.0234,2.4789,0.675,-1.83,1.3438,90.742,0.7663,0.05
0.5,0.5,40,1.1,0.6875,4.2933,-0.2475,2.4474,0.55,-2.0348,1.3673,93.899,0.6564,0.0
0.5,0.55,40,1.682,0.6938,4.3327,0.3222,3.0418,0.65,-3.2708,1.3709,95.668,0.5064,-0.05
0.5,0.6,40,1.1961,0.6163,3.8491,-0.0119,2.4041,0.675,-3.3577,1.1893,95.55,0.5783,-0.1
0.5,0.65,40,0.6452,0.5579,3.4842,-0.4483,1.7388,0.575,-0.5938,1.3375,93.093,0.6899,-0.15
0.5,0.7,40,1.2558,0.5721,3.5731,0.1344,2.3772,0.675,-1.7396,1.5505,89.831,0.8107,-0.2
0.5,0.75,40,1.4711,0.5904,3.6871,0.3139,2.6283,0.7,-2.3438,1.5649,86.061,0.8298,-0.25
0.5,0.8,40,1.1108,0.5728,3.5771,-0.0119,2.2335,0.6,-2.8264,1.4228,82.23,0.8298,-0.3
0.5,0.85,40,0.9231,0.6875,4.2936,-0.4244,2.2707,0.55,-2.8958,1.652,78.4,0.8298,-0.35
0.5,0.9,40,0.8688,0.633,3.9533,-0.3719,2.1096,0.575,-2.4271,1.3854,74.569,0.8298,-0.4
0.5,0.95,40,1.2988,0.6283,3.924,0.0672,2.5303,0.6,-2.007,1.292,70.739,0.8298,-0.45
0.55,0.3,40,0.3638,0.6931,4.3284,-0.9946,1.7223,0.575,-2.7986,1.1739,75.636,0.8298,0.25
0.55,0.35,40,0.996,0.6608,4.1267,-0.2992,2.2912,0.575,-2.6181,1.332,79.467,0.8298,0.2
0.55,0.4,40,-0.1085,0.656,4.0969,-1.3943,1.1773,0.475,-1.8542,1.4326,83.297,0.8298,0.15
0.55,0.45,40,0.5376,0.6566,4.1005,-0.7493,1.8246,0.65,-2.0557,1.4213,87.127,0.8297,0.1
0.55,0.5,40,1.3107,0.6918,4.3204,-0.0452,2.6667,0.625,-2.1077,1.3989,90.742,0.7663,0.05
0.55,0.55,40,1.3668,0.6743,4.2112,0.0452,2.6885,0.6,-2.7015,1.3674,93.899,0.6564,0.0
0.55,0.6,40,1.4636,0.6845,4.2748,0.1219,2.8053,0.675,-3.4514,1.3615,95.668,0.5064,-0.05
0.55,0.65,40,0.9788,0.5852,3.6546,-0.1682,2.1258,0.6,-2.1146,1.2088,95.55,0.5783,-0.1
0.55,0.7,40,1.1201,0.5895,3.6814,-0.0353,2.2755,0.675,-0.6562,1.4614,93.093,0.6899,-0.15
0.55,0.75,40,1.5046,0.5811,3.6287,0.3657,2.6435,0.7,-1.7153,1.4639,89.831,0.8107,-0.2
0.55,0.8,40,1.8568,0.5706,3.5636,0.7384,2.9753,0.75,-3.4376,1.4494,86.061,0.8298,-0.25
0.55,0.85,40,1.3598,0.6121,3.8228,0.16,2.5596,0.65,-2.7361,1.448,82.23,0.8298,-0.3
0.55,0.9,40,1.219,0.6437,4.0201,-0.0427,2.4807,0.6,-2.7639,1.4279,78.4,0.8298,-0.35
0.55,0.95,40,1.1708,0.5946,3.7133,0.0054,2.3363,0.625,-2.5625,1.2442,74.569,0.8298,-0.4
0.6,0.3,40,0.3096,0.6854,4.2802,-1.0338,1.653,0.55,-3.0452,1.1389,71.806,0.8298,0.3
0.6,0.35,40,0.5162,0.6996,4.3689,-0.855,1.8874,0.525,-2.7361,1.3636,75.636,0.8298,0.25
0.6,0.4,40,1.0353,0.6675,4.1685,-0.273,2.3436,0.575,-2.7223,1.3688,79.467,0.8298,0.2
0.6,0.45,40,0.0787,0.6806,4.2502,-1.2553,1.4126,0.5,-1.5418,1.3638,83.297,0.8298,0.15
0.6,0.5,40,0.7302,0.7053,4.4043,-0.6521,2.1125,0.625,-1.566,1.4801,87.127,0.8297,0.1
0.6,0.55,40,1.1993,0.6615,4.1311,-0.0973,2.4959,0.65,-1.5904,1.4215,90.742,0.7663,0.05
0.6,0.6,40,1.6544,0.7019,4.3833,0.2787,3.0301,0.625,-3.3646,1.3051,93.899,0.6564,0.0
0.6,0.65,40,1.4082,0.6133,3.8302,0.2061,2.6104,0.675,-2.8368,1.2974,95.668,0.5064,-0.05
0.6,0.7,40,1.0032,0.6153,3.8424,-0.2027,2.2091,0.6,-1.9896,1.2962,95.55,0.5783,-0.1
0.6,0.75,40,1.6477,0.6004,3.7495,0.4709,2.8245,0.75,-1.4722,1.3934,93.093,0.6899,-0.15
0.6,0.8,40,1.7586,0.585,3.6536,0.6119,2.9053,0.725,-2.1007,1.5611,89.831,0.8107,-0.2
0.6,0.85,40,1.8582,0.5959,3.7215,0.6902,3.0262,0.725,-4.0209,1.4755,86.061,0.8298,-0.25
0.6,0.9,40,1.3086,0.6193,3.8676,0.0948,2.5225,0.575,-2.3334,1.5072,82.23,0.8298,-0.3
0.6,0.95,40,1.1435,0.5694,3.5559,0.0275,2.2595,0.65,-2.7778,1.2249,78.4,0.8298,-0.35
0.65,0.3,40,0.4949,0.7218,4.5074,-0.9197,1.9096,0.5,-2.309,1.2668,67.996,0.8294,0.35
0.65,0.35,40,0.6078,0.6334,3.9557,-0.6337,1.8493,0.6,-2.4583,1.1774,71.827,0.8294,0.3
0.65,0.4,40,0.7337,0.6975,4.3559,-0.6334,2.1008,0.575,-2.8368,1.3766,75.657,0.8294,0.25
0.65,0.45,40,0.7382,0.6818,4.2577,-0.598,2.0745,0.55,-2.6737,1.35,79.487,0.8294,0.2
0.65,0.5,40,0.4039,0.6949,4.3399,-0.9582,1.766,0.55,-1.323,1.4147,83.317,0.8294,0.15
0.65,0.55,40,1.2018,0.6708,4.1891,-0.1129,2.5166,0.65,-1.5174,1.4218,87.148,0.8293,0.1
0.65,0.6,40,1.2968,0.6581,4.1096,0.007,2.5866,0.6,-1.8681,1.4637,90.742,0.7597,0.05
0.65,0.65,40,1.6879,0.6113,3.8175,0.4898,2.886,0.7,-2.9306,1.4033,93.9,0.6517,0.0
