ai_support_level,trust_in_ai,ai_reliability,n,eff_delta,eff_delta_se,ci_low,ci_high,ci_excludes_zero,share_positive,defect_delta,trust_calibration_with
0.8,0.65,0.3,200,0.2749,0.31,-0.3327,0.8826,False,0.49,-2.0388,68.763
0.8,0.65,0.35,200,0.3826,0.3139,-0.2327,0.9978,False,0.485,-2.3076,72.594
0.8,0.65,0.4,200,0.5204,0.2875,-0.0432,1.0839,False,0.5,-1.9937,76.424
0.8,0.65,0.45,200,0.5302,0.2989,-0.0556,1.1161,False,0.545,-1.9673,80.254
0.8,0.65,0.5,200,1.0695,0.2779,0.5247,1.6143,True,0.63,-2.6416,84.085
0.8,0.65,0.55,200,1.323,0.2565,0.8202,1.8258,True,0.635,-2.9868,87.899
0.8,0.65,0.6,200,1.5102,0.2657,0.9895,2.0309,True,0.65,-3.2388,91.55
0.8,0.65,0.65,200,1.7592,0.2555,1.2583,2.26,True,0.68,-3.4249,94.58
0.8,0.65,0.7,200,2.1218,0.2529,1.6262,2.6175,True,0.71,-4.027,95.982
0.8,0.65,0.75,200,2.2768,0.2704,1.7467,2.8068,True,0.735,-4.0971,95.189
0.8,0.65,0.8,200,2.3146,0.2694,1.7866,2.8426,True,0.75,-3.743,92.54
0.8,0.65,0.85,200,2.3404,0.2778,1.7959,2.8848,True,0.715,-4.2312,89.032
0.8,0.65,0.9,200,2.2541,0.2762,1.7127,2.7955,True,0.66,-3.1603,85.268
0.8,0.65,0.95,200,2.2931,0.2795,1.7452,2.841,True,0.7,-3.4472,81.442
