ai_support_level,trust_in_ai,ai_reliability,n,eff_delta,eff_delta_se,ci_low,ci_high,ci_excludes_zero,share_positive,defect_delta,trust_calibration_with
0.8,0.85,0.3,200,0.2403,0.2964,-0.3408,0.8213,False,0.53,-1.5758,55.337
0.8,0.85,0.35,200,0.4669,0.2893,-0.1002,1.034,False,0.53,-2.0694,59.167
0.8,0.85,0.4,200,0.6457,0.2993,0.0592,1.2323,True,0.56,-2.0381,62.997
0.8,0.85,0.45,200,0.7488,0.2975,0.1658,1.3318,True,0.57,-2.2187,66.828
0.8,0.85,0.5,200,1.1183,0.2972,0.5358,1.7009,True,0.585,-3.1325,70.658
0.8,0.85,0.55,200,1.4728,0.2889,0.9065,2.039,True,0.61,-2.1742,74.488
0.8,0.85,0.6,200,1.7815,0.2852,1.2225,2.3405,True,0.625,-2.3645,78.319
0.8,0.85,0.65,200,1.6744,0.2751,1.1352,2.2135,True,0.665,-3.0652,82.149
0.8,0.85,0.7,200,1.8706,0.2791,1.3236,2.4177,True,0.7,-2.9493,85.979
0.8,0.85,0.75,200,2.2457,0.2699,1.7167,2.7746,True,0.735,-3.5521,89.792
0.8,0.85,0.8,200,2.3283,0.2729,1.7934,2.8632,True,0.73,-3.7423,93.376
0.8,0.85,0.85,200,2.6179,0.2729,2.083,3.1527,True,0.76,-3.284,96.153
0.8,0.85,0.9,200,2.7252,0.2779,2.1804,3.2699,True,0.735,-3.9382,96.683
0.8,0.85,0.95,200,2.6092,0.2719,2.0762,3.1421,True,0.73,-4.0729,94.652
