trust_in_ai,ai_reliability,n,eff_delta,eff_delta_se,ci_low,ci_high,ci_excludes_zero,share_positive,defect_delta,defect_delta_ci_low,defect_delta_ci_high,trust_calibration_with,trust_calibration_without
0.65,0.3,200,0.6037,0.2779,0.0591,1.1483,True,0.54,-2.2374,-3.4823,-0.9925,68.763,59.225
0.65,0.35,200,0.8288,0.253,0.3329,1.3247,True,0.575,-1.9263,-3.101,-0.7516,72.594,64.225
0.65,0.4,200,0.792,0.278,0.2471,1.3369,True,0.555,-2.0187,-3.287,-0.7503,76.424,69.225
0.65,0.45,200,1.0881,0.2868,0.526,1.6503,True,0.575,-2.8444,-4.0426,-1.6462,80.254,74.225
0.65,0.5,200,1.1196,0.2845,0.562,1.6773,True,0.615,-3.3527,-4.5644,-2.1411,84.085,79.225
0.65,0.55,200,1.3541,0.2907,0.7843,1.9239,True,0.645,-2.6506,-3.852,-1.4493,87.899,84.203
0.65,0.6,200,1.3925,0.2776,0.8485,1.9365,True,0.64,-3.193,-4.43,-1.956,91.55,88.969
0.65,0.65,200,1.6946,0.2652,1.1748,2.2144,True,0.69,-3.6333,-4.9013,-2.3654,94.58,92.924
0.65,0.7,200,1.882,0.2729,1.347,2.4169,True,0.675,-4.0708,-5.326,-2.8155,95.982,94.754
0.65,0.75,200,2.0629,0.2709,1.532,2.5938,True,0.715,-3.9055,-5.1418,-2.6692,95.189,93.72
0.65,0.8,200,2.0187,0.2859,1.4583,2.5791,True,0.705,-3.1909,-4.4907,-1.8912,92.54,90.262
0.65,0.85,200,1.8593,0.28,1.3105,2.4082,True,0.71,-3.1014,-4.3348,-1.8679,89.032,85.683
0.65,0.9,200,1.859,0.2847,1.3009,2.4171,True,0.66,-3.0243,-4.3667,-1.6819,85.268,80.769
0.65,0.95,200,2.097,0.2838,1.5407,2.6534,True,0.69,-3.0673,-4.2969,-1.8378,81.442,75.775
