ai_reliability,eff_delta,ci_low,ci_high,defect_delta,trust_calibration,share_positive
0.2,2.0758,1.1734,2.9782,-5.2808,95.131,0.75
0.25,2.1317,1.136,3.1274,-5.2356,95.131,0.767
0.3,2.5066,1.5054,3.5078,-5.2391,95.131,0.783
0.35,2.5289,1.516,3.5419,-4.9856,95.131,0.8
0.4,2.4859,1.4628,3.509,-5.2668,95.131,0.783
0.45,2.5908,1.5774,3.6042,-5.3815,95.131,0.8
0.5,2.3791,1.3974,3.3607,-5.0516,95.131,0.783
0.55,2.555,1.6459,3.4641,-4.9978,95.131,0.817
0.6,2.3233,1.453,3.1936,-5.3797,95.131,0.817
0.65,2.576,1.7005,3.4515,-5.6019,95.131,0.833
0.7,2.5576,1.6367,3.4785,-5.2339,95.131,0.817
0.75,2.5425,1.5054,3.5795,-5.0637,95.141,0.817
0.8,2.3868,1.392,3.3816,-4.9388,95.266,0.8
0.85,2.6676,1.6618,3.6734,-5.3693,95.699,0.8
0.9,3.207,2.4063,4.0078,-5.7286,96.662,0.817
0.95,3.0359,2.2643,3.8075,-5.4821,98.231,0.833
