Parameter,Outcome,Min,Max,Range,Std Dev,Stability
ai_reliability,team_effectiveness,75.259,76.13,0.871,0.264,0.989
ai_reliability,collective_intelligence,65.526,65.686,0.16,0.049,0.998
ai_reliability,team_viability,74.601,75.069,0.468,0.145,0.994
ai_reliability,member_sustainability,71.513,71.838,0.325,0.098,0.995
ai_reliability,defect_rate,13.88,14.885,1.005,0.356,0.932
ai_reliability,trust_calibration,95.096,96.66,1.564,0.512,0.984
ai_reliability,carry_over_rate,24.66,26.412,1.752,0.516,0.934
ai_reliability,rework_created,4.15,4.4,0.25,0.089,0.943
trust_in_ai,team_effectiveness,74.576,76.244,1.668,0.488,0.978
trust_in_ai,collective_intelligence,65.476,65.657,0.181,0.052,0.997
trust_in_ai,team_viability,74.592,74.779,0.187,0.054,0.997
trust_in_ai,member_sustainability,71.546,71.782,0.236,0.065,0.997
trust_in_ai,defect_rate,13.599,15.5,1.901,0.548,0.877
trust_in_ai,trust_calibration,95.174,95.174,0.0,0.0,1.0
trust_in_ai,carry_over_rate,24.317,27.785,3.468,1.01,0.875
trust_in_ai,rework_created,4.15,4.475,0.325,0.101,0.927
effort_management,team_effectiveness,71.494,77.812,6.318,2.159,0.919
effort_management,collective_intelligence,63.76,66.538,2.778,0.925,0.958
effort_management,team_viability,73.736,75.184,1.448,0.489,0.981
effort_management,member_sustainability,59.291,78.46,19.169,6.288,0.756
effort_management,defect_rate,13.526,16.146,2.62,0.722,0.838
effort_management,trust_calibration,95.174,95.174,0.0,0.0,1.0
effort_management,carry_over_rate,23.566,28.897,5.331,1.866,0.816
effort_management,rework_created,3.9,4.775,0.875,0.259,0.817
skills_knowledge_coordination,team_effectiveness,74.129,76.301,2.172,0.668,0.972
skills_knowledge_coordination,collective_intelligence,62.033,67.563,5.53,1.806,0.918
skills_knowledge_coordination,team_viability,72.902,75.701,2.799,0.911,0.963
skills_knowledge_coordination,member_sustainability,71.297,71.827,0.53,0.171,0.993
skills_knowledge_coordination,defect_rate,11.12,17.893,6.773,2.252,0.621
skills_knowledge_coordination,trust_calibration,95.174,95.174,0.0,0.0,1.0
skills_knowledge_coordination,carry_over_rate,25.0,26.983,1.983,0.536,0.927
skills_knowledge_coordination,rework_created,3.3,5.4,2.1,0.682,0.611
task_strategy,team_effectiveness,72.939,76.67,3.731,1.298,0.951
task_strategy,collective_intelligence,62.871,67.057,4.186,1.377,0.938
task_strategy,team_viability,72.901,75.655,2.754,0.907,0.964
task_strategy,member_sustainability,70.997,72.009,1.012,0.336,0.986
task_strategy,defect_rate,13.779,15.849,2.07,0.745,0.869
task_strategy,trust_calibration,95.174,95.174,0.0,0.0,1.0
task_strategy,carry_over_rate,24.096,30.294,6.198,2.203,0.795
task_strategy,rework_created,4.075,4.575,0.5,0.142,0.891
collective_reasoning,team_effectiveness,74.224,76.293,2.069,0.659,0.973
collective_reasoning,collective_intelligence,61.701,67.195,5.494,1.865,0.918
collective_reasoning,team_viability,72.662,75.587,2.925,0.986,0.961
collective_reasoning,member_sustainability,71.295,71.902,0.607,0.196,0.992
collective_reasoning,defect_rate,13.656,15.458,1.802,0.498,0.883
collective_reasoning,trust_calibration,95.174,95.174,0.0,0.0,1.0
collective_reasoning,carry_over_rate,24.86,27.539,2.679,0.83,0.903
collective_reasoning,rework_created,4.15,4.525,0.375,0.101,0.917
dashboard_quality,team_effectiveness,72.686,76.618,3.932,1.409,0.949
dashboard_quality,collective_intelligence,63.482,66.459,2.977,0.989,0.955
dashboard_quality,team_viability,72.737,75.533,2.796,0.931,0.963
dashboard_quality,member_sustainability,70.713,72.052,1.339,0.462,0.981
dashboard_quality,defect_rate,11.8,17.359,5.559,1.836,0.68
dashboard_quality,trust_calibration,95.174,95.174,0.0,0.0,1.0
dashboard_quality,carry_over_rate,24.423,30.198,5.775,2.102,0.809
dashboard_quality,rework_created,3.475,4.85,1.375,0.436,0.716
dependency_density,team_effectiveness,75.12,75.927,0.807,0.268,0.989
dependency_density,collective_intelligence,65.462,65.65,0.188,0.067,0.997
dependency_density,team_viability,74.585,74.761,0.176,0.062,0.998
dependency_density,member_sustainability,71.55,71.729,0.179,0.064,0.998
dependency_density,defect_rate,13.14,17.099,3.959,1.295,0.768
dependency_density,trust_calibration,95.174,95.174,0.0,0.0,1.0
dependency_density,carry_over_rate,24.375,25.934,1.559,0.432,0.94
dependency_density,rework_created,3.975,5.125,1.15,0.357,0.776
